% Model:              Tmax38_Nu_0.9.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 16 2017, 10:58
% Dimension:          2
% Nodes:              4413
% Expressions:        5
% Description:        Velocity field, r component, Velocity field, z component, Temperature, Dependent variable S, Vorticity field, phi component
% Length unit:        m
% r                       z                        u @ t=0.085              w @ t=0.085              T @ t=0.085              S @ t=0.085              spf.vorticityphi @ t=0.085
0.4799999999999999        0                        0                        0                        -0.16361554245285964     0.9880775076630808       -4323.852358572292
0.5                       0                        0                        0                        -0.16444792212215292     0.9873095065788073       -2433.4009444080043
0.4800000000000001        0.0041666666666666675    -16.682568935296043      -0.6540669728352886      -0.163630220929808       0.9877638052221992       -3668.956471505935
0.5                       0.004166666666666665     -9.82893101461203        -0.6438350376398337      -0.1644493047588439      0.9871338121062303       -2303.9764893833317
0.45999999999999985       0                        0                        0                        -0.16237983484454652     0.988798261556353        -5321.344106977678
0.45999999999999996       0.004166666666666668     -20.393895632445556      0.13831658185163972      -0.16241162896042535     0.9886909712721703       -4386.61229231377
0.4399999999999998        0                        0                        0                        -0.16072937339718874     0.989648376382383        -3979.6000558527903
0.43999999999999984       0.004166666666666669     -15.781793654909752      0.9145795700487691       -0.1607666995878697      0.9897050759792121       -3582.0749997458
0.4199999999999997        0                        0                        0                        -0.15907843068629052     0.9903159484772142       -1968.2580120540229
0.4199999999999997        0.0041666666666666675    -8.474108607564371       0.5824043338845122       -0.159108037184086       0.9905562832706383       -2155.392740265948
0.39999999999999963       0                        0                        0                        -0.15782119531504776     0.9908565494480477       -1362.6370094788977
0.3999999999999996        0.0041666666666666675    -6.037397190068938       0.045195830971141375     -0.15784335063915864     0.9910721761278729       -1551.9349122986139
0.37999999999999956       0                        0                        0                        -0.15696548503487473     0.9913902431481469       -1717.510554806191
0.37999999999999945       0.0041666666666666675    -7.21497629399063        -0.16585639711769518     -0.15698241425366988     0.9915357528685964       -1749.767335818627
0.3599999999999995        0                        0                        0                        -0.1563858140383512      0.9918917591293238       -2333.3869636701265
0.35999999999999954       0.0041666666666666675    -9.507107598841925       -0.20597090565891973     -0.1563984660998827      0.9919880676954602       -2228.970407162987
0.3399999999999994        0                        0                        0                        -0.15598460994627866     0.9923588456574357       -2976.323643658924
0.33999999999999947       0.004166666666666667     -11.972599875442514      -0.17771552574718863     -0.15599367560845695     0.9924037403411332       -2767.8836916567143
0.31999999999999934       0                        0                        0                        -0.15569701138168893     0.9928350106271224       -3550.054034369098
0.31999999999999934       0.0041666666666666675    -14.200014848575664      -0.12495650499613285     -0.15570340977151956     0.992777754929135        -3261.2730203398746
0.29999999999999927       0                        0                        0                        -0.15547158012655823     0.9933657572787462       -4041.242812754169
0.29999999999999927       0.004166666666666668     -16.103433253114193      -0.09058521931715145     -0.15547657872264564     0.9931451194897034       -3687.682483721588
0.2799999999999992        0                        0                        0                        -0.15525539517359638     0.9939265604176473       -4608.634205029761
0.27999999999999914       0.0041666666666666675    -18.225924330138568      -0.1379272716946038      -0.1552607465069044      0.9935693705441317       -4146.339906096783
0.2599999999999991        0                        0                        0                        -0.15498051049630202     0.9944157991118856       -5351.296797621729
0.2599999999999991        0.004166666666666668     -20.920934986909632      -0.11130744399946005     -0.15498860319907165     0.9940745196227905       -4684.023797129954
0.23999999999999905       0                        0                        0                        -0.15455228003144622     0.9947511737497803       -5790.642040649343
0.23999999999999913       0.004166666666666668     -22.483591208580428      0.20547168287630055      -0.15456568228821463     0.9945702007806241       -4973.261352185428
0.21999999999999897       0                        0                        0                        -0.1538648915388366      0.9950014686917856       -5218.795472132564
0.21999999999999903       0.0041666666666666675    -20.326370371567013      0.670397754208005        -0.15388380487985023     0.9949369326713193       -4510.275596724575
0.1999999999999989        0                        0                        0                        -0.15289276927797454     0.9953577852826871       -3647.7822003676856
