% Model:              Tmax38_Nu_0.9.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 16 2017, 10:58
% Dimension:          2
% Nodes:              4413
% Expressions:        5
% Description:        Velocity field, r component, Velocity field, z component, Temperature, Dependent variable S, Vorticity field, phi component
% Length unit:        m
% r                       z                        u @ t=0.03               w @ t=0.03               T @ t=0.03               S @ t=0.03               spf.vorticityphi @ t=0.03
0.4799999999999999        0                        0                        0                        -0.0735131686690683      0.9935106641642498       -4882.129945242977
0.5                       0                        0                        0                        -0.07412396284868188     0.9932893680260741       -4858.295039193003
0.4800000000000001        0.0041666666666666675    -19.376624644935326      0.07506399059040911      -0.07352650690689447     0.9933104575593359       -4417.668102839679
0.5                       0.004166666666666665     -19.272106247086654      0.06617552889218598      -0.07413706565245302     0.9930950991282304       -4391.502309369157
0.45999999999999985       0                        0                        0                        -0.07292135482267814     0.9937325443993528       -4889.5824825222035
0.45999999999999996       0.004166666666666668     -19.418031654240274      0.087014900191467        -0.07293487068321548     0.9935272057079896       -4429.957624330576
0.4399999999999998        0                        0                        0                        -0.07234766245174515     0.9939542487052846       -4874.961943240988
0.43999999999999984       0.004166666666666669     -19.374842728395592      0.1002961389569812       -0.07236126475233202     0.9937444568143919       -4423.8443958468
0.4199999999999997        0                        0                        0                        -0.07179217610218235     0.9941750881610443       -4837.263999096467
0.4199999999999997        0.0041666666666666675    -19.243473121989876      0.11277935484731562      -0.07180575239334494     0.9939613505138006       -4398.615048451126
0.39999999999999963       0                        0                        0                        -0.07125575585369921     0.9943944913120876       -4780.82952522318
0.3999999999999996        0.0041666666666666675    -19.040778039533077      0.12244013538402046      -0.07126919165075715     0.9941771415016643       -4357.996009489013
0.37999999999999956       0                        0                        0                        -0.0707397103650423      0.9946120168828337       -4714.583050021579
0.37999999999999945       0.0041666666666666675    -18.80127396163453       0.1278812711864598       -0.07075290989893902     0.9943912504452546       -4309.5848689827835
0.3599999999999995        0                        0                        0                        -0.07024539269264636     0.994827365269033        -4650.520204027482
0.35999999999999954       0.0041666666666666675    -18.57139906825891       0.12849055563340178      -0.07025829614755166     0.9946033062172079       -4263.629885186561
0.3399999999999994        0                        0                        0                        -0.06977379675157976     0.9950403853453904       -4602.032161147008
0.33999999999999947       0.004166666666666667     -18.40301349838464       0.12445739452635268      -0.06978639131346076     0.9948131765338878       -4231.588002704407
0.31999999999999934       0                        0                        0                        -0.06932520064601573     0.9952510909160551       -4582.230905179831
0.31999999999999934       0.0041666666666666675    -18.34677656409416       0.11680896953866315      -0.06933752500486522     0.9950210022691632       -4224.613222681786
0.29999999999999927       0                        0                        0                        -0.06889886732681039     0.9954597057581465       -4601.989878580169
0.29999999999999927       0.004166666666666668     -18.444383604142487      0.10759905104191488      -0.06891101068997302     0.9952272518022629       -4251.778467440279
0.2799999999999992        0                        0                        0                        -0.06849278308588942     0.9956667665523875       -4667.24102384373
0.27999999999999914       0.0041666666666666675    -18.717989542758243      0.10023651337537166      -0.06850488032065453     0.9954328171736334       -4317.695335672232
0.2599999999999991        0                        0                        0                        -0.06810338737539944     0.9958733213788464       -4775.173859457593
0.2599999999999991        0.004166666666666668     -19.155535586600188      0.09983502067390128      -0.0681156118225137      0.9956391754175196       -4419.274135321394
0.23999999999999905       0                        0                        0                        -0.06772522174098536     0.9960812693334438       -4909.342002290336
0.23999999999999913       0.004166666666666668     -19.69205680669923       0.11331906640162057      -0.06773777647974163     0.9958486374789723       -4541.666188859135
0.21999999999999897       0                        0                        0                        -0.06735040731739161     0.9962939016978065       -5034.5542012558435
0.21999999999999903       0.0041666666666666675    -20.190331490280464      0.14872497597356615      -0.06736351408831182     0.9960647155925065       -4654.149095751757
